Kennziffer;Raumeinheit;Aggregat;Beschäftigtenquote Frauen;Beschäftigtenquote Männer;Teilzeitbeschäftigte;Teilzeitbeschäftige Frauen
;;;2022;2022;2022;2022
1001;Flensburg, Stadt;Kreise;52,28;55,73;36,6;55,57
1002;Kiel, Landeshauptstadt;Kreise;54,01;59,36;34,42;51,52
1003;Lübeck, Hansestadt;Kreise;57,55;63,98;33,47;51,39
1004;Neumünster, Stadt;Kreise;57,92;65,34;29,15;51,83
1051;Dithmarschen;Kreise;58,15;66,96;32,07;55,06
1053;Herzogtum Lauenburg;Kreise;59,15;65,1;35,08;57,07
1054;Nordfriesland;Kreise;62,04;63,74;32,37;53,27
1055;Ostholstein;Kreise;62,8;65,38;36,88;54,92
1056;Pinneberg;Kreise;62,06;68,28;31,7;53,33
1057;Plön;Kreise;60,27;63,35;39,38;60,97
1058;Rendsburg-Eckernförde;Kreise;59,4;63,08;34,09;57,13
1059;Schleswig-Flensburg;Kreise;58,92;59,73;34,98;57,59
1060;Segeberg;Kreise;64,08;68,58;29,99;50,67
1061;Steinburg;Kreise;59,82;67,45;33,91;55,86
1062;Stormarn;Kreise;62,27;68,2;29,28;51,02
2000;Hamburg, Freie und Hansestadt;Kreise;61,83;67,96;29,01;44,63
3101;Braunschweig, Stadt;Kreise;57,87;66,69;31,07;50,28
3102;Salzgitter, Stadt;Kreise;51,71;70,59;22,58;52,05
3103;Wolfsburg, Stadt;Kreise;57,13;73,54;16,51;40,02
3151;Gifhorn;Kreise;59,2;74,03;35,71;60,65
3153;Goslar;Kreise;61,13;68,08;33,81;55,39
3154;Helmstedt;Kreise;61,28;72,93;35,55;54,62
3155;Northeim;Kreise;64,38;71,92;32,08;57,63
3157;Peine;Kreise;59,6;70,9;33,57;57,97
3158;Wolfenbüttel;Kreise;60,64;69,37;38,18;57,5
3159;Göttingen;Kreise;57,7;62,34;34,62;54,66
3241;Region Hannover;Kreise;60,09;67,79;30,17;48,61
3251;Diepholz;Kreise;63,4;72,19;32,81;58,45
3252;Hameln-Pyrmont;Kreise;59,73;66,43;34,92;56,09
3254;Hildesheim;Kreise;59,92;67,88;33,22;55,09
3255;Holzminden;Kreise;62,07;71,97;30,08;56,99
3256;Nienburg (Weser);Kreise;60,49;69,37;32,75;58,24
3257;Schaumburg;Kreise;60,61;68,36;33,72;57,77
3351;Celle;Kreise;62,69;68,3;32,49;54,95
3352;Cuxhaven;Kreise;59,48;66,67;34,69;57,09
3353;Harburg;Kreise;61,87;68,6;33,5;57,14
3354;Lüchow-Dannenberg;Kreise;58,15;64,29;40,97;62,63
3355;Lüneburg;Kreise;59,32;66,11;34,97;54,65
3356;Osterholz;Kreise;61,99;70,42;39,18;62,97
3357;Rotenburg (Wümme);Kreise;63,59;70,54;32,56;57,61
3358;Heidekreis;Kreise;60,65;65,52;33,16;56,94
3359;Stade;Kreise;59,39;72,4;32,74;56,41
3360;Uelzen;Kreise;61,29;64,86;35,09;55,79
3361;Verden;Kreise;61,41;72,43;30,3;54,19
3401;Delmenhorst, Stadt;Kreise;49,08;58,42;36,93;57,17
3402;Emden, Stadt;Kreise;53,11;66,21;19,07;44,66
3403;Oldenburg (Oldenburg), Stadt;Kreise;56,3;61,76;36,12;53,26
3404;Osnabrück, Stadt;Kreise;56,67;65,7;35,05;54,67
3405;Wilhelmshaven, Stadt;Kreise;55,38;58,46;30,75;52,32
3451;Ammerland;Kreise;62,31;68,99;29,52;53,03
3452;Aurich;Kreise;56,15;68,57;32,35;54,45
3453;Cloppenburg;Kreise;59,47;74,1;24,31;50,09
3454;Emsland;Kreise;60,01;72,56;26,25;55,07
3455;Friesland;Kreise;60,13;65,35;37,18;59,75
3456;Grafschaft Bentheim;Kreise;57,77;66,23;30,03;57,27
3457;Leer;Kreise;54,88;67,54;33,72;56,88
3458;Oldenburg;Kreise;64,95;73,86;30,95;55
3459;Osnabrück;Kreise;64,72;75,76;28,06;53,66
3460;Vechta;Kreise;63,2;77,28;24,97;50,97
3461;Wesermarsch;Kreise;57,76;71,64;26,46;55,96
3462;Wittmund;Kreise;59,9;67,23;33,9;54,3
4011;Bremen, Stadt;Kreise;53,53;62,44;31,49;51,74
4012;Bremerhaven, Stadt;Kreise;50,33;61,92;27,47;47,44
5111;Düsseldorf, Stadt;Kreise;60,11;67,09;24,92;38,14
5112;Duisburg, Stadt;Kreise;48,32;62,66;26,71;47,29
5113;Essen, Stadt;Kreise;54,11;62,91;29,91;45,23
5114;Krefeld, Stadt;Kreise;53,97;64,14;27,94;47,22
5116;Mönchengladbach, Stadt;Kreise;53,54;62,12;28,48;46,52
5117;Mülheim an der Ruhr, Stadt;Kreise;54,19;63,61;26,91;46,75
5119;Oberhausen, Stadt;Kreise;51,17;63,28;31,89;54,15
5120;Remscheid, Stadt;Kreise;54,58;66,05;25,72;48,14
5122;Solingen, Klingenstadt;Kreise;56,78;64,37;28,99;47,66
5124;Wuppertal, Stadt;Kreise;52,95;62,6;30,28;47,38
5154;Kleve;Kreise;56,46;61,23;31,05;52,84
5158;Mettmann;Kreise;59,46;67,54;25,07;45,71
5162;Rhein-Kreis Neuss;Kreise;58,76;68,46;28,68;49,6
5166;Viersen;Kreise;58,43;66,55;30,65;51,53
5170;Wesel;Kreise;56,92;66,95;32,32;54,19
5314;Bonn, Stadt;Kreise;56,08;61,71;32,1;44,93
5315;Köln, Stadt;Kreise;59,37;66,42;29,56;43,72
5316;Leverkusen, Stadt;Kreise;54,89;65,8;26,87;45,99
5334;Städteregion Aachen;Kreise;53,04;59,32;31,57;49,2
5358;Düren;Kreise;54,4;64,32;32,34;54,87
5362;Rhein-Erft-Kreis;Kreise;58,27;68,6;27,86;49,69
5366;Euskirchen;Kreise;56,29;63,94;31,08;53,58
5370;Heinsberg;Kreise;54,99;63,3;30,55;53,16
5374;Oberbergischer Kreis;Kreise;58,65;71,22;25,18;49,05
5378;Rheinisch-Bergischer Kreis;Kreise;59,51;66,47;32,11;51,61
5382;Rhein-Sieg-Kreis;Kreise;58,63;64,65;32,12;52,93
5512;Bottrop, Stadt;Kreise;53,99;63,99;30,56;50,19
5513;Gelsenkirchen, Stadt;Kreise;46,6;58,79;29,45;47,95
5515;Münster, Stadt;Kreise;57,46;63,75;33,83;48,56
5554;Borken;Kreise;59,32;72,03;26,22;52,08
5558;Coesfeld;Kreise;62,5;70,58;31,16;54,72
5562;Recklinghausen;Kreise;54,29;65,21;31,8;52,74
5566;Steinfurt;Kreise;62,95;72,74;29,87;54,29
5570;Warendorf;Kreise;61,18;73,13;27,2;51,7
5711;Bielefeld, Stadt;Kreise;56,64;67,49;33,59;52,96
5754;Gütersloh;Kreise;63,91;76,88;23,31;47,91
5758;Herford;Kreise;60,74;70,03;28,53;52,52
5762;Höxter;Kreise;61,01;70,49;31,95;57,43
5766;Lippe;Kreise;59,84;70,32;30,48;53,9
5770;Minden-Lübbecke;Kreise;60,14;69,02;28,64;51,44
5774;Paderborn;Kreise;56,64;69,06;30,45;53,92
5911;Bochum, Stadt;Kreise;55,25;64,17;32,57;50,01
5913;Dortmund, Stadt;Kreise;52,81;62,65;29,75;47,02
5914;Hagen, Stadt der FernUniversität;Kreise;52,72;64,93;28,34;48,68
5915;Hamm, Stadt;Kreise;54,11;65,96;31,29;52,95
5916;Herne, Stadt;Kreise;52,38;63,21;32,26;47,77
5954;Ennepe-Ruhr-Kreis;Kreise;59,82;70,06;29;51,62
5958;Hochsauerlandkreis;Kreise;60,61;73,5;27,2;52,02
5962;Märkischer Kreis;Kreise;57,11;70,72;23,65;46,1
5966;Olpe;Kreise;60,3;75,75;23,17;47,31
5970;Siegen-Wittgenstein;Kreise;58,07;72,84;26,4;50,37
